iter	Logloss
0	0.6849478274
1	0.6770209126
2	0.6693789283
3	0.6614688199
4	0.6541783334
5	0.6482482043
6	0.6415842179
7	0.6349320138
8	0.6296674998
9	0.6244255339
10	0.619035361
11	0.6142935783
12	0.6096585548
13	0.6051642022
14	0.6015367821
15	0.5974958421
16	0.5936100468
17	0.590017914
18	0.5862159112
19	0.5827954903
20	0.5801623362
21	0.5769502302
22	0.5740375883
23	0.5717123911
24	0.5695881523
25	0.5671644496
26	0.564759168
27	0.5620335491
28	0.5599058414
29	0.5577443416
30	0.5561992939
31	0.5544107036
32	0.553223673
33	0.5515395094
34	0.5501146181
35	0.5483055133
36	0.5468492821
37	0.5457297161
38	0.5443771938
39	0.543115043
40	0.5418321384
41	0.5407808146
42	0.5399623873
43	0.5391109453
44	0.5381571103
45	0.5373087186
46	0.536436523
47	0.535431611
48	0.5345894992
49	0.5337579139
50	0.5329141874
51	0.5323340992
52	0.5316467734
53	0.531081458
54	0.5302550761
55	0.5297132657
56	0.5288410103
57	0.5281002151
58	0.5274802941
59	0.5269942258
60	0.5265328586
61	0.5259681414
62	0.5255510927
63	0.5251406231
64	0.5247522828
65	0.5242542527
66	0.5238841541
67	0.5235034694
68	0.5229789439
69	0.5224847415
70	0.5220431113
71	0.5215855719
72	0.5212170883
73	0.5209019543
74	0.5206395719
75	0.5203263518
76	0.5199154037
77	0.519545963
78	0.5192704825
79	0.5190112699
80	0.5187170093
81	0.5183416476
82	0.5180143125
83	0.517762935
84	0.5174972033
85	0.5172435531
86	0.516883323
87	0.5165799116
88	0.5163308666
89	0.515994022
90	0.5157544866
91	0.5156069975
92	0.5153748187
93	0.5150928787
94	0.514893236
95	0.514721883
96	0.5145003502
97	0.5142028599
98	0.5139809683
99	0.5138465175
100	0.5136629036
101	0.513446036
102	0.5132548862
103	0.5130523128
104	0.5127514732
105	0.5126094267
106	0.5123869967
107	0.5120998534
108	0.5118854977
109	0.511623534
110	0.5113948241
111	0.5112292726
112	0.5111076209
113	0.5110107302
114	0.5108046282
115	0.5106204162
116	0.5104286684
117	0.5102659279
118	0.5101076731
119	0.5099668227
120	0.5098492381
121	0.5096989977
122	0.5095569512
123	0.5093240546
124	0.509082426
125	0.5089726165
126	0.5088162158
127	0.5086440853
128	0.5085236298
129	0.5083344538
130	0.5082720131
131	0.5081398949
132	0.5079533504
133	0.5077441382
134	0.5076591495
135	0.507540608
136	0.5074972464
137	0.5073910853
138	0.5072371367
139	0.5071239182
140	0.5069220626
141	0.5067228984
142	0.5066041175
143	0.5064890449
144	0.5063077636
145	0.506151961
146	0.5059968761
147	0.5058647578
148	0.5057317424
149	0.5056164306
150	0.5054960947
151	0.5053555434
152	0.5052258175
153	0.5050712709
154	0.5049859831
155	0.5048785062
156	0.5048060775
157	0.5046366982
158	0.5044901061
159	0.5043267078
160	0.5042311329
161	0.5041160602
162	0.5039927937
163	0.5038279001
164	0.5037008657
165	0.5035770011
166	0.5035018211
167	0.5034204807
168	0.5032173093
169	0.5030339945
170	0.5028253805
171	0.5026601878
172	0.5025813595
173	0.502464971
174	0.5023339294
175	0.5022625173
176	0.5020610206
177	0.50190145
178	0.5018064732
179	0.5015559031
180	0.501464754
181	0.5013834137
182	0.5012521328
183	0.5011242909
184	0.5010059587
185	0.5009024591
186	0.5007656159
187	0.5005858298
188	0.5003977901
189	0.5002044872
190	0.5001565203
191	0.5000114235
192	0.4998976069
193	0.4997584611
194	0.4996292436
195	0.4994965272
196	0.4993835479
197	0.4992759514
198	0.4991810344
199	0.4991290902
200	0.4990493049
201	0.4989209846
202	0.4988476885
203	0.4987281302
204	0.4986094989
205	0.4985448752
206	0.4984257057
207	0.498326602
208	0.4981383231
209	0.4980581191
210	0.4979995062
211	0.4979302473
212	0.4978441223
213	0.4977782127
214	0.4976658314
215	0.4975294069
